Sentence,Emotion 1,Emotion 2
"A brilliant experience, value for money a true love for the club was present throughout the tour.",Joy,
A complete waste of time and money and felt I was endangering my family by taking them here.,Anger,
"A disappointing expensive experience, going to spas regularly worldwide I was expecting something an experience at a different level.",Sadness,
"A fantastic show in a lovely theatre, the cast were excellent you are guaranteed to enjoy this wonderful show.",Trust,
A friend and I had found a cheap deal for this spa day and for what we paid we definitely got a lot for our money!,Joy,
"A friend invited me and although I have enjoyed musicals in London I was not expecting such good quality of musicians, singers and dancers.",Surprise,
"A friendly lady behind the bar and good real ales, but don't bother with the food not a good experience.",Joy,
A good array of chocolate sweet treats on offer and all at good prices.,Joy,
"A good place to learn, enjoy, share, nurture our culture and openness to art and emotion.",Joy,
A good range of food and good real ales served promptly and of good quality.,Trust,
"A good variety of musical performances which I defy you not to enjoy, and leave you feeling in the Festive spirit.",Joy,
"A haven of peace and quiet, with lovely architecture and knowledgeable staff who were happy to share their experiences of the building.",Trust,
A long walk down to it with a very long uphill walk after realizing it is a total and complete waste of time.,Sadness,
"A lovely area of the country, lovely staff and a quaint feel to it but just slightly overpriced and needs a good spruce up.",Joy,
"A lovely cafe, lovely food and staff were very helpful and friendly.",Joy,
"A lovely experience, quiet, relaxing, excellent service, food is very good as are the drinks, totally recommend it.",Trust,
"A lovely large open space, efficient and friendly staff, food cooked to order.",Trust,
A lovely little cafe serving good food by friendly staff.,Joy,
"A lovely peaceful lounge serving good food and drinks, staffed by friendly, helpful staff.",Joy,
"A lovely place and nice food, actually very good and tasting, good service very friendly and professional.",Joy,
A Lovely shop with lots of handmade gifts all served up with a pleasant greeting and a smile as you walk in.,Joy,
A lovely sunny day was spent on the beach with young children who happily entertained themselves all day.,Joy,
"A lovely sunny day, but windy, Followed the signs, but was thwarted by time and distance, I am no longer young or fit!",Sadness,
A lovely time was had and we especially enjoyed the mud treatment which was entertaining and left our skin feeling very refreshed.,Joy,
"A lovely walk and much fun for children that enjoy being outdoors, also great spot for a picnic.",Joy,
A lovely walk around some lovely gardens topped off by buying lavender goods in the shop.,Trust,
"A lovely wander around the tranquil ruins, felt very privileged to be there - so peaceful.",Joy,
